# time, u, cmd
7.020599093999999596e+00,-1.196046080440282822e-02,-1.260785013437271118e-02
7.050103492999999943e+00,-1.196046080440282822e-02,-1.260016020387411118e-02
7.080824999999999925e+00,-1.196046080440282822e-02,-1.258601341396570206e-02
7.110085672000000301e+00,-1.196046080440282822e-02,-1.258035097271203995e-02
7.139781376000000179e+00,-1.196046080440282822e-02,-1.258390955626964569e-02
7.169963768999999765e+00,-1.196046080440282822e-02,-1.258623506873846054e-02
7.200917054999999678e+00,-1.196046080440282822e-02,-1.258655916899442673e-02
7.230648877000000141e+00,-1.196046080440282822e-02,-1.258712541311979294e-02
7.259931248000000004e+00,-1.196046080440282822e-02,-1.258852705359458923e-02
7.289744040999999619e+00,-1.196046080440282822e-02,-1.259034126996994019e-02
7.320592861999999812e+00,-1.196046080440282822e-02,-1.257620286196470261e-02
7.349805205000000008e+00,-1.196046080440282822e-02,-1.254032924771308899e-02
7.381774135999999764e+00,-1.196046080440282822e-02,-1.251500006765127182e-02
7.410205140000000412e+00,-1.196046080440282822e-02,-1.253244746476411819e-02
7.439840398000000299e+00,-1.196046080440282822e-02,-1.257552113384008408e-02
7.471395409000000321e+00,-1.196046080440282822e-02,-1.258883439004421234e-02
7.500941518000000308e+00,-1.196046080440282822e-02,-1.257151458412408829e-02
7.529883128999999897e+00,-1.196046080440282822e-02,-1.255808025598526001e-02
7.559904742999999705e+00,-1.196046080440282822e-02,-1.255350094288587570e-02
7.590596644999999754e+00,-1.196046080440282822e-02,-1.255580130964517593e-02
7.619948020999999905e+00,-1.196046080440282822e-02,-1.256129704415798187e-02
7.650541437000000222e+00,-1.196046080440282822e-02,-1.256294734776020050e-02
7.680233195999999651e+00,-1.196046080440282822e-02,-1.255990937352180481e-02
7.709931323000000170e+00,-1.196046080440282822e-02,-1.255633030086755753e-02
7.740025332000000091e+00,-1.196046080440282822e-02,-1.255440618842840195e-02
7.769800371999999733e+00,-1.196046080440282822e-02,-1.255428697913885117e-02
7.800857476000000013e+00,-1.196046080440282822e-02,-1.255502179265022278e-02
7.830223225000000120e+00,-1.196046080440282822e-02,-1.255441457033157349e-02
7.860063041000000084e+00,-1.196046080440282822e-02,-1.255149114876985550e-02
7.890675442000000039e+00,-1.196046080440282822e-02,-1.254705060273408890e-02
7.920282282000000507e+00,-1.196046080440282822e-02,-1.254255138337612152e-02
7.950023940000000344e+00,-1.196046080440282822e-02,-1.254307571798563004e-02
7.980407300999999620e+00,-1.196046080440282822e-02,-1.255041267722845078e-02
8.010028941999999930e+00,-1.196046080440282822e-02,-1.255863811820745468e-02
8.040103427000000025e+00,-1.196046080440282822e-02,-1.257986854761838913e-02
8.071240454999999869e+00,-1.196046080440282822e-02,-1.261482294648885727e-02
8.100904720999999142e+00,-1.196046080440282822e-02,-1.263084355741739273e-02
8.129977546999999305e+00,-1.196046080440282822e-02,-1.262624189257621765e-02
8.160196064000000860e+00,-1.196046080440282822e-02,-1.262177433818578720e-02
8.191046146999999777e+00,-1.196046080440282822e-02,-1.262020319700241089e-02
8.220012260000000737e+00,-1.196046080440282822e-02,-1.261911727488040924e-02
8.249802243999999618e+00,-1.196046080440282822e-02,-1.261773891746997833e-02
8.281032956000000667e+00,-1.196046080440282822e-02,-1.261567510664463043e-02
8.309910373999999322e+00,-1.196046080440282822e-02,-1.261478010565042496e-02
8.341051376999999434e+00,-1.195944938808679581e-02,-1.261718291789293289e-02
8.370129873999999859e+00,-1.195944938808679581e-02,-1.262260880321264267e-02
8.400926636999999531e+00,-1.195580232888460159e-02,-1.260805036872625351e-02
8.430210250000000016e+00,-1.195491757243871689e-02,-1.255222130566835403e-02
8.460379270000000673e+00,-1.195376645773649216e-02,-1.247677020728588104e-02
8.490681354999999542e+00,-1.195201557129621506e-02,-1.249990798532962799e-02
8.520380947999999677e+00,-1.195037644356489182e-02,-1.267459057271480560e-02
8.550660494000000611e+00,-1.226824615150690079e-02,-1.283948775380849838e-02
8.580296906999999251e+00,-1.226824615150690079e-02,-1.293543819338083267e-02
8.610768766999999713e+00,-1.264854986220598221e-02,-1.298696920275688171e-02
8.640153276999999576e+00,-1.283756084740161896e-02,-1.289604604244232178e-02
8.669938276999999971e+00,-1.309038046747446060e-02,-1.270963344722986221e-02
8.700444958000000284e+00,-1.359624508768320084e-02,-1.264721807092428207e-02
8.730289538000000960e+00,-1.384848356246948242e-02,-1.270677335560321808e-02
8.760283864999999892e+00,-1.384848356246948242e-02,-1.275878865271806717e-02
8.791110062999999641e+00,-1.403726916760206223e-02,-1.282874867320060730e-02
8.820724002000000397e+00,-1.403508614748716354e-02,-1.281680725514888763e-02
8.849855909000000409e+00,-1.403296273201704025e-02,-1.268926542252302170e-02
8.880822264000000743e+00,-1.402910426259040833e-02,-1.265146397054195404e-02
8.910080660000000208e+00,-1.415291801095008850e-02,-1.269404031336307526e-02
8.939911796000000521e+00,-1.415291801095008850e-02,-1.267988607287406921e-02
8.970024519000000751e+00,-1.414979714900255203e-02,-1.262049470096826553e-02
9.000095917999999529e+00,-1.414759270846843719e-02,-1.258973591029644012e-02
9.029965557000000587e+00,-1.414337474852800369e-02,-1.256171613931655884e-02
9.060077292000000782e+00,-1.413896400481462479e-02,-1.249510608613491058e-02
9.090650028000000660e+00,-1.413416583091020584e-02,-1.238200720399618149e-02
9.121318654999999609e+00,-1.412997487932443619e-02,-1.229343749582767487e-02
9.150342177000000632e+00,-1.412626635283231735e-02,-1.215569581836462021e-02
9.180851704000000169e+00,-1.412115339189767838e-02,-1.183086819946765900e-02
9.210257117999999465e+00,-1.411585044115781784e-02,-1.159225497394800186e-02
9.240288312000000559e+00,-1.411585044115781784e-02,-1.154266111552715302e-02
9.269945779000000385e+00,-1.410989090800285339e-02,-1.150172576308250427e-02
9.299936753000000778e+00,-1.410467363893985748e-02,-1.143802702426910400e-02
9.329767927000000682e+00,-1.410053204745054245e-02,-1.130936853587627411e-02
9.360292441000000352e+00,-1.409426983445882797e-02,-1.118354219943284988e-02
9.390803003000000260e+00,-1.408701296895742416e-02,-1.111843343824148178e-02
9.420127464000000117e+00,-1.407949812710285187e-02,-1.103780698031187057e-02
9.450288768000000061e+00,-1.407481078058481216e-02,-1.092635188251733780e-02
9.480512540999999516e+00,-1.406659651547670364e-02,-1.075654383748769760e-02
9.509921288999999334e+00,-1.406659651547670364e-02,-8.249583654105663300e-03
9.540048506999999844e+00,-1.405899878591299057e-02,-3.319345880299806595e-03
9.571537848000000182e+00,-1.405087672173976898e-02,-1.000121235847473145e-03
9.599877395000000035e+00,-1.404220424592494965e-02,-1.646511140279471874e-03
9.630309446000000051e+00,-1.314966380596160889e-02,-2.060783794149756432e-03
9.659894199000000015e+00,-6.941810250282287598e-03,-1.941171591170132160e-03
9.689717975000000649e+00,-6.941810250282287598e-03,-1.859609852544963360e-03
9.720194134999999847e+00,-2.641564467921853065e-03,-1.909842249006032944e-03
9.749654540999999952e+00,-2.427975705359131098e-04,-1.948854536749422550e-03
9.781110471999999945e+00,2.597197191789746284e-03,-1.981965964660048485e-03
9.810300847000000601e+00,2.597197191789746284e-03,-2.046984853222966194e-03
9.840956369000000592e+00,3.480517538264393806e-03,-2.120135817676782608e-03
9.869844266999999505e+00,3.418783191591501236e-03,-2.198886126279830933e-03
9.900739021999999778e+00,3.420472145080566406e-03,-2.288660733029246330e-03
9.930067963000000830e+00,3.421538742259144783e-03,-2.403292106464505196e-03
9.960048426000000177e+00,3.423093585297465324e-03,-2.555206418037414551e-03
9.990829529000000875e+00,3.424899885430932045e-03,-2.719923621043562889e-03
1.002004046699999940e+01,3.426863113418221474e-03,-2.866513328626751900e-03
1.004986469700000029e+01,3.427864052355289459e-03,-2.982053672894835472e-03
1.008042181399999926e+01,3.429332980886101723e-03,-3.073326777666807175e-03
1.010983131200000074e+01,3.429332980886101723e-03,-3.144592512398958206e-03
1.014038828199999998e+01,3.431119723245501518e-03,-3.217859892174601555e-03
1.017005451300000018e+01,3.433003788813948631e-03,-3.404941875487565994e-03
1.020091013799999935e+01,3.434867830947041512e-03,-3.696160390973091125e-03
1.023019863799999918e+01,3.436213592067360878e-03,-3.881714539602398872e-03
1.026074769200000070e+01,3.437765873968601227e-03,-3.940818831324577332e-03
1.029039432999999981e+01,3.439406165853142738e-03,-4.016136750578880310e-03
1.032020743900000070e+01,3.441460896283388138e-03,-4.154787864536046982e-03
1.034965984599999977e+01,3.443423425778746605e-03,-4.332737997174263000e-03
1.038055594299999917e+01,1.698490697890520096e-03,-4.506078548729419708e-03
1.041077823100000010e+01,1.698490697890520096e-03,-4.632495809346437454e-03
1.044085183600000022e+01,-7.281858706846833229e-04,-4.697053693234920502e-03
1.046999800700000094e+01,-2.528638113290071487e-03,-4.720680415630340576e-03
1.049991325400000086e+01,-3.207685193046927452e-03,-4.740867298096418381e-03
1.052990665199999931e+01,-3.512596711516380310e-03,-4.759086761623620987e-03
1.055994304600000078e+01,-3.507830901071429253e-03,-4.759133793413639069e-03
1.059106161200000074e+01,-3.496533725410699844e-03,-4.706358071416616440e-03
1.062021270299999998e+01,-3.491616807878017426e-03,-4.594487138092517853e-03
1.064999530000000050e+01,-3.609589999541640282e-03,-4.487921949476003647e-03
1.068055270700000037e+01,-3.609589999541640282e-03,-4.395220894366502762e-03
1.071055945200000004e+01,-3.727912437170743942e-03,-4.302430432289838791e-03
1.074005272900000030e+01,-3.781740320846438408e-03,-4.232271574437618256e-03
1.077152142199999929e+01,-3.896634094417095184e-03,-4.193244501948356628e-03
1.080109421699999928e+01,-3.889359766617417336e-03,-4.176249261945486069e-03
1.082979582599999979e+01,-4.008072428405284882e-03,-4.177938681095838547e-03
1.086004630600000098e+01,-4.000569228082895279e-03,-4.184531047940254211e-03
1.089050355600000053e+01,-3.992348443716764450e-03,-4.180237185209989548e-03
1.092025711299999990e+01,-3.992348443716764450e-03,-4.164081532508134842e-03
1.094987946300000026e+01,-3.985638264566659927e-03,-4.126420710235834122e-03
1.098136102600000008e+01,-3.977893386036157608e-03,-4.070771858096122742e-03
1.101044535700000004e+01,-3.963153809309005737e-03,-4.008001647889614105e-03
1.104063058700000077e+01,-3.963153809309005737e-03,-3.943323623389005661e-03
1.107126971799999993e+01,-3.956178668886423111e-03,-3.893757471814751625e-03
1.110049008000000015e+01,-3.947458229959011078e-03,-3.861940000206232071e-03
1.113039062400000034e+01,-3.940347116440534592e-03,-3.845198312774300575e-03
1.115986243000000044e+01,-3.933517728000879288e-03,-3.839361015707254410e-03
1.119000810300000026e+01,-3.924211952835321426e-03,-3.835222451016306877e-03
1.122016751099999965e+01,-3.916206769645214081e-03,-3.827787237241864204e-03
1.125002733400000032e+01,-3.916206769645214081e-03,-3.783448599278926849e-03
1.128317924399999939e+01,-3.909187857061624527e-03,-3.575309645384550095e-03
1.130988753199999941e+01,-3.898558439686894417e-03,-3.227519569918513298e-03
1.134014029899999976e+01,-3.887808881700038910e-03,-3.018900752067565918e-03
